Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
CAR	Protein				P36575			Sup	Protein			uniprot	P60880			positive	I	NONE		cellosaurus:CVCL_0465 ++++ cellosaurus:CVCL_0532	cl:CL:0000084					Furthermore , MSLN expression was significantly higher within CAR than CAR M28z- and MBBz transduced T cells , indicating CAR mediated trogocytosis ( Figure 4b , Sup .	PMC9313125	
EpCAM	Protein				P16422	plasma membrane	go:0005886	CXCR4	Protein			uniprot	P61073	plasma membrane	go:0005886	negative	I	NONE			mesh:D018414 ++++ cl:CL:0000084		uberon:UBERON:0002371			Nian et al. ( 76 ) showed that tonic signaling of EpCAM specific CAR T cells during ex vivo expansion resulted in hyperactivation of mTORC1 , which downregulated CXCR4 and impaired the ability of CAR T cells to migrate to bone marrow .	PMC9043864	
CAR	Protein				P36575			CXCR4	Protein			uniprot	P61073			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236 ++++ cl:CL:0001063					For example , several pre-clinical studies demonstrated that CAR T cells overexpressing CXCR1 , CXCR2 , CXCR4 , CCR2b , and CCR4 , enhanced trafficking and improved antitumor efficacy .	PMC8865283	
CD47	Protein				Q08722			SIRPa	Protein			uniprot	P78324			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000232 ++++ cl:CL:0001064 ++++ cl:CL:0000084 ++++ cl:CL:0000890		uberon:UBERON:0002107			The binding of CD47 on cancer cells to signal regulatory protein-a ( SIRPa ) on macrophages results in the escape of cancer cells from phagocytosis ( 138 ) .	PMC9905824	
SIRP	Protein				P78324			CD47	Protein			uniprot	Q08722			negative	I	NONE		cellosaurus:CVCL_6353	cl:CL:0000235 ++++ cl:CL:0001063 ++++ mesh:D015496 ++++ mesh:D018414 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:0000479 ++++ uberon:UBERON:0002405			CAR-T cell ( T2-m28z ) targeting human Trop2 that have been demonstrated antitumor function in previous study.26 To explore the effectiveness of CD47 blocker SIRP α enhancing CAR-T cell treatment in cancer therapy . ++++ The immunosuppressive microenvironment in solid tumors has been regarded as one important factor for immunotherapy , which would result in affectless of CAR-T cells in solid tumors.27 28 In this study , we developed Sirf CAR-T cells that could produce a CD47 blocker SIRP α-Fc fusion protein . ++++ In summary , Sirf CAR-T cells combined the CAR-T cell technology with the CD47 blocker SIRP α-Fc fusion protein , overcame the bottleneck of CAR-T cells in solid tumors therapy practice , and displayed potent antitumor effects in mouse tumor bearing model . ++++ Given the antitumor activity against preclinical model of CD47 blocking to induce the innate and adaptive immune system in the tumor microenvironment , here we developed a CAR-T cell secreting CD47 blocker signal regulatory protein alpha ( SIRPalpha )-Fc fusion protein ( Sirf CAR-T ) to boost CAR-T cell therapeutic effect in solid tumor therapy .	PMC8811602	
CD47	Protein				Q08722	Other	sl-0310	SIRPalpha	Protein			uniprot	P78324	Other	sl-0310	positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0001063 ++++ cl:CL:0000451 ++++ cl:CL:0000084 ++++ cl:CL:0000034 ++++ cl:CL:0000813		uberon:UBERON:0000479			In summary , our findings indicate that CD47 blocker SIRPalpha-Fc enhances the antitumor efficacy of CAR-T cells and propose to block CD47 / SIRPalpha signaling effect on CAR-T cells function , which could provide a new strategy for successful cancer immunotherapy by rationalizing combination of CD47 blocker and CAR-T cell therapy .	PMC8811602	
CD47	Protein				Q08722			SIRPa	Protein			uniprot	P78324			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000232 ++++ cl:CL:0001064 ++++ cl:CL:0000084 ++++ cl:CL:0000890		uberon:UBERON:0002107			The binding of CD47 on cancer cells to signal regulatory protein-a ( SIRPa ) on macrophages results in the escape of cancer cells from phagocytosis ( 138 ) .	PMC9905824	
SIRP	Protein				P78324			CD47	Protein			uniprot	Q08722			negative	I	NONE		cellosaurus:CVCL_6353	cl:CL:0000235 ++++ cl:CL:0001063 ++++ mesh:D015496 ++++ mesh:D018414 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:0000479 ++++ uberon:UBERON:0002405			CAR-T cell ( T2-m28z ) targeting human Trop2 that have been demonstrated antitumor function in previous study.26 To explore the effectiveness of CD47 blocker SIRP α enhancing CAR-T cell treatment in cancer therapy . ++++ The immunosuppressive microenvironment in solid tumors has been regarded as one important factor for immunotherapy , which would result in affectless of CAR-T cells in solid tumors.27 28 In this study , we developed Sirf CAR-T cells that could produce a CD47 blocker SIRP α-Fc fusion protein . ++++ In summary , Sirf CAR-T cells combined the CAR-T cell technology with the CD47 blocker SIRP α-Fc fusion protein , overcame the bottleneck of CAR-T cells in solid tumors therapy practice , and displayed potent antitumor effects in mouse tumor bearing model . ++++ Given the antitumor activity against preclinical model of CD47 blocking to induce the innate and adaptive immune system in the tumor microenvironment , here we developed a CAR-T cell secreting CD47 blocker signal regulatory protein alpha ( SIRPalpha )-Fc fusion protein ( Sirf CAR-T ) to boost CAR-T cell therapeutic effect in solid tumor therapy .	PMC8811602	
CD47	Protein				Q08722	Other	sl-0310	SIRPalpha	Protein			uniprot	P78324	Other	sl-0310	positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0001063 ++++ cl:CL:0000451 ++++ cl:CL:0000084 ++++ cl:CL:0000034 ++++ cl:CL:0000813		uberon:UBERON:0000479			In summary , our findings indicate that CD47 blocker SIRPalpha-Fc enhances the antitumor efficacy of CAR-T cells and propose to block CD47 / SIRPalpha signaling effect on CAR-T cells function , which could provide a new strategy for successful cancer immunotherapy by rationalizing combination of CD47 blocker and CAR-T cell therapy .	PMC8811602	
CD1c	Protein				P29017			NY-ESO-1	Protein			uniprot	P78358			positive	I	NONE		cellosaurus:CVCL_0006	cl:CL:0000990 ++++ cl:CL:0001063 ++++ cl:CL:0000084 ++++ cl:CL:0000763					It was unclear in the study if CD1c cDCs also contributed to NY-ESO-1 antigen presentation in the patients receiving the NY-ESO-1 vaccine .	PMC7947882	
IL13	Protein				P35225			IL13R	Protein			uniprot	P78552			negative	I	NONE		uaz:UA-CLine-5317	cl:CL:0000084					Specifically , the CD28 domain increased the off-target recognition of the low-affinity IL13R α 1 receptor by the IL13 ( E12Y )-CAR , whereas that containing the 4-1BB domain demonstrated negligible recognition IL13R α 1 and superior selectivity for IL13R α 2 .	PMC10035515	
IL13	Protein				P35225			IL13R	Protein			uniprot	P78552			positive	I	NONE		uaz:UA-CLine-5317	cl:CL:0000084					Specifically , the CD28 domain increased the off-target recognition of the low-affinity IL13R α 1 receptor by the IL13 ( E12Y )-CAR , whereas that containing the 4-1BB domain demonstrated negligible recognition IL13R α 1 and superior selectivity for IL13R α 2 .	PMC10035515	
IL-13R	Protein				P78552			IL-13	Protein			uniprot	P35225			positive	I	NONE		uaz:UA-CLine-5317	uaz:UAZ54C2A063656C6C73 ++++ uaz:UAZ54C2A063656C6C					Although the IL-13 molecule on the zetakine CAR structure was mutated to increase the affinity with IL-13R α 2 , IL-13 zetakine redirected T cells still displayed off-target effects , as they were stimulated by IL-13R α 1,18 which is extensively expressed in normal tissues ( Figure S1A ) .	PMC6174845	
IL13	Protein				P35225			IL13R	Protein			uniprot	P78552			negative	I	NONE		uaz:UA-CLine-5317	cl:CL:0000084					Specifically , the CD28 domain increased the off-target recognition of the low-affinity IL13R α 1 receptor by the IL13 ( E12Y )-CAR , whereas that containing the 4-1BB domain demonstrated negligible recognition IL13R α 1 and superior selectivity for IL13R α 2 .	PMC10035515	
IL13	Protein				P35225			IL13R	Protein			uniprot	P78552			positive	I	NONE		uaz:UA-CLine-5317	cl:CL:0000084					Specifically , the CD28 domain increased the off-target recognition of the low-affinity IL13R α 1 receptor by the IL13 ( E12Y )-CAR , whereas that containing the 4-1BB domain demonstrated negligible recognition IL13R α 1 and superior selectivity for IL13R α 2 .	PMC10035515	
IL-13R	Protein				P78552			IL-13	Protein			uniprot	P35225			positive	I	NONE		uaz:UA-CLine-5317	uaz:UAZ54C2A063656C6C73 ++++ uaz:UAZ54C2A063656C6C					Although the IL-13 molecule on the zetakine CAR structure was mutated to increase the affinity with IL-13R α 2 , IL-13 zetakine redirected T cells still displayed off-target effects , as they were stimulated by IL-13R α 1,18 which is extensively expressed in normal tissues ( Figure S1A ) .	PMC6174845	
Lck	Protein				P06239			ITAM	Protein Family			pfam	PF02189			positive	I	Phosphorylation			cl:CL:0000084					In the presence of low antigen levels , inefficient Lck mediated ITAM phosphorylation and Zap-70 activation can limit CAR T cell anti-leukemic responses , while recent data show that non canonical binding of Lck to CD3 ε promotes TCR signaling and CAR function .	PMC8575966	
LCK	Protein				P06239			ITAM	Protein Family			pfam	PF02189			positive	D	Phosphorylation			cl:CL:0000084					The Src family kinase LCK is recruited to CD3 ζ after target recognition and phosphorylates the ITAM motifs , making them available for docking by downstream proteins involved in signal transduction , including ZAP70 [ 27 ] . ++++ Based on the results of this optimization procedure , the most optimal targets are predicted to be the catalytic activity of LCK in phosphorylating ITAM motifs of the CD3 ζ domain ( Kcat_LCKPU_CD3z ) and the catalytic activity of the kinase ZAP70 ( Kcat_ZAP ) .	PMC9399690	
CD28	Protein				P10747			ITAM	Protein Family			pfam	PF02189			positive	I	Phosphorylation								This work also revealed that the addition of CD28 increases the rate of CD3 ζ ITAM phosphorylation , which will be used later in the present study to explore how CD28 affects downstream signaling in the T cell activation system .	PMC7178546	
BTK	Protein				Q06187			CD83	Protein			uniprot	Q01151			positive	I	Transcription			cl:CL:0000236					In addition , BTK or ROCK2 inhibition significantly decreased CD83 expression on B cells from patients with chronic GVHD ( Fig. 5B ) .	PMC10011883	
MAP3K14	Protein				Q99558			RelB	Protein			uniprot	Q01201			positive	I	NONE								As mentioned above , MAP3K14 ( NF κ B inducing kinase , NIK ) activates the IKK complex after receiving CD40 signals and promotes the formation of the NF κ B factor ( p52 / RelB ) .	PMC9841868	
MAP3K14	Protein				Q99558			RelB	Protein			uniprot	Q01201			positive	I	NONE								As mentioned above , MAP3K14 ( NF κ B inducing kinase , NIK ) activates the IKK complex after receiving CD40 signals and promotes the formation of the NF κ B factor ( p52 / RelB ) .	PMC9841868	
APRIL	Protein				O75888	Other	sl-0468	BCMA	Protein			uniprot	Q02223	Other	sl-0468	positive	I	NONE			cl:CL:0000786 ++++ cl:CL:0000236 ++++ cl:CL:0000092					BCMA is activated by its agonist ligands , APRIL and BAFF .	PMC9317279	
APRIL	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236					Both APRIL and antibody-fragment-based CAR T cells for myeloma induce BCMA downmodulation by trogocytosis and internalization .	PMC9639149	
a proliferation-inducing ligand	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000785 ++++ cl:CL:0000037		uberon:UBERON:0000479 ++++ uberon:UBERON:0001977			Moreover , in preclinical studies , overexpression of BCMA and the interaction with is ligand , a proliferation inducing ligand ( APRIL ) , was found to promote MM progression in vivo and augment MM cell growth and survival through induction of multiple signaling cascades , including protein kinase B ( AKT ) , MAPK , and nuclear factor ( NF )-κ B.	PMC7970693	
A proliferation-inducing ligand	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000786 ++++ cl:CL:0000785 ++++ cl:CL:0000236					This is in part due to its high expression on neoplastic plasma cells and late mature B-cells [ 28 ] , and the prominent role of B-cell activating factor and A proliferation inducing ligand mediated activation of BCMA in promoting myeloma cell survival and therefore BCMA-dependence in the TME [ 29 ] .	PMC10145905	
BCMA	Protein				Q02223			APRIL	Protein			uniprot	O75888			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000786					BCMA can promote the survival of B cells at different stages of development by engaging APRIL and/or BAFF to activate the growth and survival signaling cascades [ 12 ] .	PMC6423312	
BCMA	Protein				Q02223			APRIL	Protein			uniprot	O75888			negative	I	NONE								Notably , BCMA extracellular domain mutations identified post-TCE did not impair the binding of its canonical ligand APRIL nor did it affect NF-κ B downstream signaling .	PMC10504087	
APRIL	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000092 ++++ cl:CL:0000784 ++++ cl:CL:0000236		uberon:UBERON:0002371			Similar results are observed after APRIL induced activation of BCMA in ex vivo human MM cells [ 15 ] .	PMC7214244	
APRIL	Protein				O75888	Other	sl-0468	BCMA	Protein			uniprot	Q02223	Other	sl-0468	positive	I	NONE			cl:CL:0000786 ++++ cl:CL:0000236 ++++ cl:CL:0000092					BCMA is activated by its agonist ligands , APRIL and BAFF .	PMC9317279	
APRIL	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236					Both APRIL and antibody-fragment-based CAR T cells for myeloma induce BCMA downmodulation by trogocytosis and internalization .	PMC9639149	
a proliferation-inducing ligand	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000785 ++++ cl:CL:0000037		uberon:UBERON:0000479 ++++ uberon:UBERON:0001977			Moreover , in preclinical studies , overexpression of BCMA and the interaction with is ligand , a proliferation inducing ligand ( APRIL ) , was found to promote MM progression in vivo and augment MM cell growth and survival through induction of multiple signaling cascades , including protein kinase B ( AKT ) , MAPK , and nuclear factor ( NF )-κ B.	PMC7970693	
A proliferation-inducing ligand	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000786 ++++ cl:CL:0000785 ++++ cl:CL:0000236					This is in part due to its high expression on neoplastic plasma cells and late mature B-cells [ 28 ] , and the prominent role of B-cell activating factor and A proliferation inducing ligand mediated activation of BCMA in promoting myeloma cell survival and therefore BCMA-dependence in the TME [ 29 ] .	PMC10145905	
BCMA	Protein				Q02223			APRIL	Protein			uniprot	O75888			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000786					BCMA can promote the survival of B cells at different stages of development by engaging APRIL and/or BAFF to activate the growth and survival signaling cascades [ 12 ] .	PMC6423312	
BCMA	Protein				Q02223			APRIL	Protein			uniprot	O75888			negative	I	NONE								Notably , BCMA extracellular domain mutations identified post-TCE did not impair the binding of its canonical ligand APRIL nor did it affect NF-κ B downstream signaling .	PMC10504087	
APRIL	Protein				O75888			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000092 ++++ cl:CL:0000784 ++++ cl:CL:0000236		uberon:UBERON:0002371			Similar results are observed after APRIL induced activation of BCMA in ex vivo human MM cells [ 15 ] .	PMC7214244	
CD19	Protein				P15391	Other	sl-0162	BCMA	Protein			uniprot	Q02223	Other	sl-0162	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000910 ++++ cl:CL:0000623		uberon:UBERON:0000104			Since BCMA or BCMA relapse were observed in CAR-T trials , dual targeting CAR or combined two CARs binding to BCMA and other MM related antigens including CD19 , CD138 , and SLAMF7 are also under development , aiming to reduce the risk of low or lost BCMA expression related relapse ( antigen escape relapse ) [ 59 ] .	PMC7352710	
BCMA	Protein				Q02223			CD19	Protein			uniprot	P15391			positive	I	NONE			cl:CL:0000787 ++++ cl:CL:0000786 ++++ cl:CL:0000236					At present , many targets of MM CAR-T therapy are being studied , such as BCMA , kappa light chain , SLAMF7 , GPRC5D , activated integrin β 7 , CD19 , CD138 , etc. ( 15 ) .	PMC8637449	
CD19	Protein				P15391			BCMA	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0001063					Targeting CD19 can trigger the elimination of tumor cells by CAR-T cells , so targeting both BCMA and CD19 antigens might improve efficacy and reduce relapse [ 159 ] .	PMC8198014	
CD138	Protein				P18827	Other	sl-0162	BCMA	Protein			uniprot	Q02223	Other	sl-0162	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000910 ++++ cl:CL:0000623		uberon:UBERON:0000104			Since BCMA or BCMA relapse were observed in CAR-T trials , dual targeting CAR or combined two CARs binding to BCMA and other MM related antigens including CD19 , CD138 , and SLAMF7 are also under development , aiming to reduce the risk of low or lost BCMA expression related relapse ( antigen escape relapse ) [ 59 ] .	PMC7352710	
BCMA	Protein				Q02223			CD138	Protein			uniprot	P18827			positive	I	NONE			cl:CL:0000787 ++++ cl:CL:0000786 ++++ cl:CL:0000236					At present , many targets of MM CAR-T therapy are being studied , such as BCMA , kappa light chain , SLAMF7 , GPRC5D , activated integrin β 7 , CD19 , CD138 , etc. ( 15 ) .	PMC8637449	
CD38-	Protein				P28907			BCMA	Protein			uniprot	Q02223			negative	I	NONE		cellosaurus:CVCL_8792						Since MM1.s cells express high levels of CD38 and BCMA , they were completely eliminated by both CD38- and BCMA-CAR iNKT cells even at low effector to target ( E/T ) ratios , whereas the lysis by mock transduced iNKT cells was very low .	PMC7865760	
OX40	Protein				P43489	Other	sl-0431	BCMA	Protein			uniprot	Q02223	Other	sl-0431	positive	I	NONE			cl:CL:0000813 ++++ cl:CL:0000034		uberon:UBERON:0002405			A recent study has proved that OX40 mediated BCMA targeted CAR-T cells exhibited stronger proliferation ability and more durable anti-tumor activity under repeated BCMA stimulation compared with 4-1BB-mediated BCMA targeted CAR-T cells ( 50 ) .	PMC9986336	
OX40	Protein				P43489	Other	sl-0487	BCMA	Protein			uniprot	Q02223	Other	sl-0487	positive	I	NONE								In conclusion , our study demonstrated for the first time that OX40 mediated BCMA targeted CAR-T showed more durable antitumor activity than 41BB mediated CAR-T cells upon repeated stimulation of BCMA expressing target cells .	PMC8974082	
CART	Protein				Q16568			BCMA	Protein			uniprot	Q02223			negative	I	NONE			cl:CL:0000786		uberon:UBERON:0001977			However , the infusion of allogeneic CART failed to suppress serum BCMA .	PMC7877347	
BCMA	Protein				Q02223	Other	sl-0431	CAR-T	Protein			uniprot	Q16568	Other	sl-0431	positive	I	NONE			cl:CL:0000084					Moreover , the safety of BCMA 1-R2 CAR-T cells is enhanced by the incorporation of intra-CAR rituximab binding domain as an off switch , enabling the elimination of CAR-T with rituximab [ 94 ] . ++++ Moreover , the safety of BCMA 1-R2 CAR-T cells is enhanced by the incorporation of intra-CAR rituximab binding domain as an off switch , enabling the elimination of CAR-T with rituximab [ 94 ] .	PMC8472544	
BAFF-R	Protein				Q96RJ3			BCMA	Protein			uniprot	Q02223			negative	I	Transcription			cl:CL:0000236 ++++ cl:CL:0000786 ++++ cl:CL:0000092 ++++ cl:CL:0000235		uberon:UBERON:0000105			Among them , BCMA is selectively expressed from the late stage of B-cell maturation to terminal differentiation of antibody producing PCs , concomitantly with the loss of BAFF-R .	PMC7352710	
SLAMF7	Protein				Q9NQ25	Other	sl-0162	BCMA	Protein			uniprot	Q02223	Other	sl-0162	negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000910 ++++ cl:CL:0000623		uberon:UBERON:0000104			Since BCMA or BCMA relapse were observed in CAR-T trials , dual targeting CAR or combined two CARs binding to BCMA and other MM related antigens including CD19 , CD138 , and SLAMF7 are also under development , aiming to reduce the risk of low or lost BCMA expression related relapse ( antigen escape relapse ) [ 59 ] .	PMC7352710	
SLAMF7	Protein				Q9NQ25			BCMA-	Protein			uniprot	Q02223			positive	I	NONE			cl:CL:0000084					As mentioned previously , other multispecific CAR T-cell products containing a bicistronic BCMA and SLAMF7 directed CAR ( 176 , 177 ) or simultaneously manufactured BCMA- and GPRC5D directed CAR T-cells ( 121 ) have been investigated preclinically , and clinical testing of bispecific CAR T-cells targeting BCMA and CD38 ( 132 ) or BCMA and CD19 ( 178 ) are ongoing in China .	PMC7399644	
BFP	Protein				Q9ULX5			BCMA	Protein			uniprot	Q02223			negative	I	NONE			cl:CL:0000236 ++++ uaz:UAZ54C2A063656C6C73 ++++ cl:CL:0000980 ++++ cl:CL:0000786 ++++ uaz:UAZ43443420202054C2A063656C6C73		uberon:UBERON:0006611			The addition of TRAC [ BFP ] cells decreased the % BCMA only slightly ( from 25 % to 17 % – 20 % , a < 20 % decrease ) .	PMC5363294	
BAFF	Protein				Q9Y275	Other	sl-0468	BCMA	Protein			uniprot	Q02223	Other	sl-0468	positive	I	NONE			cl:CL:0000786 ++++ cl:CL:0000236 ++++ cl:CL:0000092					BCMA is activated by its agonist ligands , APRIL and BAFF .	PMC9317279	
BCMA	Protein				Q02223			BAFF	Protein			uniprot	Q9Y275			positive	I	NONE		cellosaurus:CVCL_1865 ++++ cellosaurus:CVCL_0014	cl:CL:0001064					Similarly , double knockout of BCMA and TACI in RPMI-8226 cells also greatly reduced BAFF CAR-T cell mediated killing .	PMC8752722	
BCMA	Protein				Q02223			BAFF	Protein			uniprot	Q9Y275			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000786					BCMA can promote the survival of B cells at different stages of development by engaging APRIL and/or BAFF to activate the growth and survival signaling cascades [ 12 ] .	PMC6423312	
BCMA	Protein				Q02223	Other	sl-0162	BAFF	Protein			uniprot	Q9Y275	Other	sl-0162	negative	I	NONE					uberon:UBERON:0001977			Soluble BCMA may act as a decoy and prevent BAFF from binding to membrane bound BCMA to inhibit normal B-cell differentiation to PCs [ 34 ] .	PMC7352710	
BAFF	Protein				Q9Y275	Other	sl-0468	BCMA	Protein			uniprot	Q02223	Other	sl-0468	positive	I	NONE			cl:CL:0000786 ++++ cl:CL:0000236 ++++ cl:CL:0000092					BCMA is activated by its agonist ligands , APRIL and BAFF .	PMC9317279	
BCMA	Protein				Q02223			BAFF	Protein			uniprot	Q9Y275			positive	I	NONE		cellosaurus:CVCL_1865 ++++ cellosaurus:CVCL_0014	cl:CL:0001064					Similarly , double knockout of BCMA and TACI in RPMI-8226 cells also greatly reduced BAFF CAR-T cell mediated killing .	PMC8752722	
BCMA	Protein				Q02223			BAFF	Protein			uniprot	Q9Y275			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000786					BCMA can promote the survival of B cells at different stages of development by engaging APRIL and/or BAFF to activate the growth and survival signaling cascades [ 12 ] .	PMC6423312	
BCMA	Protein				Q02223	Other	sl-0162	BAFF	Protein			uniprot	Q9Y275	Other	sl-0162	negative	I	NONE					uberon:UBERON:0001977			Soluble BCMA may act as a decoy and prevent BAFF from binding to membrane bound BCMA to inhibit normal B-cell differentiation to PCs [ 34 ] .	PMC7352710	
Bcl11b	Protein				Q9C0K0	mitochondria	go:0005739	Id2	Protein			uniprot	Q02363	mitochondria	go:0005739	negative	I	Transcription			cl:CL:0001063 ++++ cl:CL:0000623 ++++ cl:CL:0002419 ++++ cl:CL:0001065 ++++ cl:CL:0000084					Mechanistically , Bcl11b directly represses the transcription of Id2 , which governs NK cell fate , and Zbtb16 , which is crucial in innate-type T cells and innate lymphoid cells [ 20 , 32 – 34 ] . ++++ In addition , the suppression of BCL11B by chimeric antigen receptor ( CAR ) expression in human lymphoid progenitors represses the expression of T cell associated genes , including IL7R , GATA3 , and NOTCH3 , and increases the expression of ID2 and GZMB [ 46 ] .	PMC8943975	
BCL11B	Protein				Q9C0K0			ID2	Protein			uniprot	Q02363			negative	I	Transcription			cl:CL:0000084					In contrast , knockdown of BCL11B in normal mature human T cells does not affect viability but rather upregulates the expression of ID2 [ 43 ] .	PMC8943975	
BLIMP1	Protein				O75626			ID3	Protein			uniprot	Q02535			negative	I	NONE			uaz:UAZ54C2A063656C6C73 ++++ uaz:UAZ6E616976652054C2A063656C6C73 ++++ uaz:UAZ6566666563746F722054C2A063656C6C ++++ uaz:UAZ54C2A063656C6C ++++ uaz:UAZ6566666563746F722054C2A063656C6C73					ID3 itself is repressed by PRDM1 ( BLIMP1 ) , a strong promoter of terminal effector cell differentiation . ++++ ID3 itself is repressed by PRDM1 ( BLIMP1 ) , a strong promoter of terminal effector cell differentiation .	PMC8791860	
B-Raf	Protein				P15056			MEK-1	Protein			uniprot	Q02750			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000775 ++++ cl:CL:0000097 ++++ cl:CL:0000767 ++++ cl:CL:0000771 ++++ cl:CL:0000084 ++++ cl:CL:0000576					C5a binding to C5aR causes calcium flux as well as activation of several components of different signaling pathways , including PI3K-γ kinase , phospholipase C , phospholipase D and Raf-1 / B-Raf mediated activation of MEK-1 ( 34 – 37 ) .	PMC6658873	
B-Raf	Protein				P15056			MEK-1	Protein			uniprot	Q02750			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000775 ++++ cl:CL:0000097 ++++ cl:CL:0000767 ++++ cl:CL:0000771 ++++ cl:CL:0000084 ++++ cl:CL:0000576					C5a binding to C5aR causes calcium flux as well as activation of several components of different signaling pathways , including PI3K-γ kinase , phospholipase C , phospholipase D and Raf-1 / B-Raf mediated activation of MEK-1 ( 34 – 37 ) .	PMC6658873	
Peli1	Protein				Q96FA3			c-Rel	Protein			uniprot	Q04864			positive	I	Ubiquitination			cl:CL:0000815 ++++ cl:CL:0000084 ++++ cl:CL:0000236					The Peli1 RING E3 ligase negatively regulates T cell activation by inducing the ubiquitination and degradation of c-Rel , a member of the NF-κ B family .	PMC6929154	
PD-L1	Protein				Q9NZQ7	Other	sl-0431	SHP-2	Protein			uniprot	Q06124	Other	sl-0431	negative	I	Phosphorylation			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0000623 ++++ cl:CL:0000815 ++++ cl:CL:0000084					Functionally , mAb targeting PD-L1 was able to inhibit tyrosine phosphorylation of SHP-2 and restore the production of IFN-γ by tumor infiltrating T cells [ 57 ] .	PMC6558778	
PD-L1	Protein				Q9NZQ7	Other	sl-0431	SHP-2	Protein			uniprot	Q06124	Other	sl-0431	positive	D	Phosphorylation			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0000623 ++++ cl:CL:0000815 ++++ cl:CL:0000084					Functionally , mAb targeting PD-L1 was able to inhibit tyrosine phosphorylation of SHP-2 and restore the production of IFN-γ by tumor infiltrating T cells [ 57 ] .	PMC6558778	
PD-L1	Protein				Q9NZQ7	Other	sl-0431	SHP-2	Protein			uniprot	Q06124	Other	sl-0431	negative	I	Phosphorylation			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0000623 ++++ cl:CL:0000815 ++++ cl:CL:0000084					Functionally , mAb targeting PD-L1 was able to inhibit tyrosine phosphorylation of SHP-2 and restore the production of IFN-γ by tumor infiltrating T cells [ 57 ] .	PMC6558778	
PD-L1	Protein				Q9NZQ7	Other	sl-0431	SHP-2	Protein			uniprot	Q06124	Other	sl-0431	positive	D	Phosphorylation			cl:CL:0000235 ++++ cl:CL:0000236 ++++ cl:CL:0000623 ++++ cl:CL:0000815 ++++ cl:CL:0000084					Functionally , mAb targeting PD-L1 was able to inhibit tyrosine phosphorylation of SHP-2 and restore the production of IFN-γ by tumor infiltrating T cells [ 57 ] .	PMC6558778	
BCR	Protein				P11274			BTK	Protein			uniprot	Q06187			negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236		uberon:UBERON:0002390			Ibrutinib primarily interferes with BCR signaling pathways by inhibiting BTK ; however , it can affect multiple parts of the hematopoietic system , including T-cells .	PMC8798430	
BCR	Protein				P11274			BTK	Protein			uniprot	Q06187			positive	I	NONE		cellosaurus:CVCL_3652	cl:CL:0000236 ++++ cl:CL:0000084 ++++ cl:CL:0000546 ++++ cl:CL:0000899		uberon:UBERON:0002405			In the CNS microenvironment , a hypothesis indicated that chronic antigen presentation and BCR stimulation could possibly promote BTK dependence .	PMC9581047	
